,Cell type,X location,Y location,Z location
7542,Pyr in SP layer,104,472,314
7543,Pyr in SP layer,280,424,306
7544,Pyr in SP layer,256,704,322
7545,Pyr in SP layer,176,160,314
7546,Pyr in SP layer,80,1000,298
7547,Pyr in SP layer,336,624,298
7548,Pyr in SP layer,336,216,290
7549,Pyr in SP layer,376,552,290
7550,Pyr in SP layer,384,632,306
7551,Pyr in SP layer,392,704,306
7552,Pyr in SP layer,176,952,298
7553,Pyr in SP layer,176,488,290
7554,Pyr in SP layer,360,808,314
7555,Pyr in SP layer,360,488,306
7556,Pyr in SP layer,264,488,298
7557,Pyr in SP layer,368,728,314
7558,Pyr in SP layer,224,448,314
7559,Pyr in SP layer,296,96,290
7560,Pyr in SP layer,120,8,322
7561,Pyr in SP layer,320,848,306
7562,Pyr in SP layer,240,312,290
7563,Pyr in SP layer,264,696,306
7564,Pyr in SP layer,352,928,314
7565,Pyr in SP layer,112,888,290
7566,Pyr in SP layer,160,920,314
7567,Pyr in SP layer,296,312,298
7568,Pyr in SP layer,32,528,306
7569,Pyr in SP layer,152,80,314
7570,Pyr in SP layer,96,568,298
7571,Pyr in SP layer,120,520,322
7572,Pyr in SP layer,80,328,306
7573,Pyr in SP layer,232,96,314
7574,Pyr in SP layer,8,448,306
7575,Pyr in SP layer,16,416,298
7576,Pyr in SP layer,176,848,298
7577,Pyr in SP layer,48,248,298
7578,Pyr in SP layer,80,440,298
7579,Pyr in SP layer,360,552,322
7580,Pyr in SP layer,32,824,306
7581,Pyr in SP layer,240,280,314
7582,Pyr in SP layer,240,792,322
7583,Pyr in SP layer,184,984,306
7584,Pyr in SP layer,400,152,298
7585,Pyr in SP layer,392,128,322
7586,Pyr in SP layer,16,600,322
7587,Pyr in SP layer,72,200,290
7588,Pyr in SP layer,312,296,290
7589,Pyr in SP layer,232,544,314
7590,Pyr in SP layer,16,568,314
7591,Pyr in SP layer,344,648,298
7592,Pyr in SP layer,0,792,290
7593,Pyr in SP layer,376,824,306
7594,Pyr in SP layer,200,872,290
7595,Pyr in SP layer,152,288,306
7596,Pyr in SP layer,360,104,314
7597,Pyr in SP layer,360,640,306
7598,Pyr in SP layer,224,400,322
7599,Pyr in SP layer,384,664,314
7600,Pyr in SP layer,136,568,314
7601,Pyr in SP layer,40,592,314
7602,Pyr in SP layer,88,920,298
7603,Pyr in SP layer,272,912,290
7604,Pyr in SP layer,392,56,290
7605,Pyr in SP layer,256,416,314
7606,Pyr in SP layer,104,992,290
7607,Pyr in SP layer,392,560,314
7608,Pyr in SP layer,32,504,314
7609,Pyr in SP layer,224,904,290
7610,Pyr in SP layer,352,296,290
7611,Pyr in SP layer,368,912,290
7612,Pyr in SP layer,56,96,306
7613,Pyr in SP layer,352,376,298
7614,Pyr in SP layer,376,976,290
7615,Pyr in SP layer,160,40,322
7616,Pyr in SP layer,264,224,322
7617,Pyr in SP layer,16,720,298
7618,Pyr in SP layer,288,496,306
7619,Pyr in SP layer,192,344,306
7620,Pyr in SP layer,296,616,298
7621,Pyr in SP layer,296,608,298
7622,Pyr in SP layer,128,216,314
7623,Pyr in SP layer,72,368,322
7624,Pyr in SP layer,72,48,306
7625,Pyr in SP layer,192,232,314
7626,Pyr in SP layer,312,624,290
7627,Pyr in SP layer,40,688,322
7628,Pyr in SP layer,64,480,306
7629,Pyr in SP layer,128,504,322
7630,Pyr in SP layer,24,944,290
7631,Pyr in SP layer,400,192,322
7632,Pyr in SP layer,64,72,322
7633,Pyr in SP layer,0,680,306
7634,Pyr in SP layer,16,248,306
7635,Pyr in SP layer,240,840,306
7636,Pyr in SP layer,216,664,298
7637,Pyr in SP layer,48,984,298
7638,Pyr in SP layer,80,152,290
7639,Pyr in SP layer,256,592,290
7640,Pyr in SP layer,224,536,306
7641,Pyr in SP layer,392,464,314
7642,Pyr in SP layer,352,392,314
7643,Pyr in SP layer,232,912,306
7644,Pyr in SP layer,136,712,322
7645,Pyr in SP layer,304,192,314
7646,Pyr in SP layer,176,16,314
7647,Pyr in SP layer,352,728,322
7648,Pyr in SP layer,64,784,314
7649,Pyr in SP layer,56,40,314
7650,Pyr in SP layer,0,648,322
7651,Pyr in SP layer,400,688,290
7652,Pyr in SP layer,80,920,290
7653,Pyr in SP layer,72,456,298
7654,Pyr in SP layer,32,392,306
7655,Pyr in SP layer,8,280,290
7656,Pyr in SP layer,184,848,298
7657,Pyr in SP layer,136,240,322
7658,Pyr in SP layer,264,320,298
7659,Pyr in SP layer,48,656,298
7660,Pyr in SP layer,376,144,298
7661,Pyr in SP layer,344,384,314
7662,Pyr in SP layer,312,664,298
7663,Pyr in SP layer,240,392,290
7664,Pyr in SP layer,232,208,314
7665,Pyr in SP layer,336,584,290
7666,Pyr in SP layer,48,328,322
7667,Pyr in SP layer,184,624,298
7668,Pyr in SP layer,264,320,290
7669,Pyr in SP layer,40,912,322
7670,Pyr in SP layer,376,696,298
7671,Pyr in SP layer,304,464,290
7672,Pyr in SP layer,128,840,322
7673,Pyr in SP layer,344,832,314
7674,Pyr in SP layer,296,512,298
7675,Pyr in SP layer,296,680,290
7676,Pyr in SP layer,216,280,290
7677,Pyr in SP layer,152,656,322
7678,Pyr in SP layer,272,296,306
7679,Pyr in SP layer,120,512,314
7680,Pyr in SP layer,48,440,298
7681,Pyr in SP layer,8,840,298
7682,Pyr in SP layer,160,704,322
7683,Pyr in SP layer,352,168,306
7684,Pyr in SP layer,336,760,306
7685,Pyr in SP layer,280,8,322
7686,Pyr in SP layer,248,88,306
7687,Pyr in SP layer,368,120,322
7688,Pyr in SP layer,168,24,298
7689,Pyr in SP layer,24,240,306
7690,Pyr in SP layer,176,656,306
7691,Pyr in SP layer,120,848,306
7692,Pyr in SP layer,16,752,322
7693,Pyr in SP layer,264,544,290
7694,Pyr in SP layer,176,576,290
7695,Pyr in SP layer,280,264,298
7696,Pyr in SP layer,312,144,290
7697,Pyr in SP layer,40,896,322
7698,Pyr in SP layer,264,776,314
7699,Pyr in SP layer,264,264,290
7700,Pyr in SP layer,232,864,314
7701,Pyr in SP layer,336,272,314
7702,Pyr in SP layer,376,648,298
7703,Pyr in SP layer,392,872,322
7704,Pyr in SP layer,312,328,290
7705,Pyr in SP layer,296,704,314
7706,Pyr in SP layer,296,360,306
7707,Pyr in SP layer,80,344,314
7708,Pyr in SP layer,112,664,306
7709,Pyr in SP layer,48,928,306
7710,Pyr in SP layer,280,392,322
7711,Pyr in SP layer,112,280,314
7712,Pyr in SP layer,200,864,306
7713,Pyr in SP layer,32,184,314
7714,Pyr in SP layer,344,216,314
7715,Pyr in SP layer,224,384,322
7716,Pyr in SP layer,280,784,298
7717,Pyr in SP layer,168,496,314
7718,Pyr in SP layer,232,312,298
7719,Pyr in SP layer,80,808,314
7720,Pyr in SP layer,16,784,322
7721,Pyr in SP layer,32,120,298
7722,Pyr in SP layer,120,40,290
7723,Pyr in SP layer,16,584,290
7724,Pyr in SP layer,8,952,306
7725,Pyr in SP layer,304,904,290
7726,Pyr in SP layer,400,328,306
7727,Pyr in SP layer,248,952,306
7728,Pyr in SP layer,384,816,322
7729,Pyr in SP layer,384,768,306
7730,Pyr in SP layer,200,728,314
7731,Pyr in SP layer,304,368,314
7732,Pyr in SP layer,56,720,314
7733,Pyr in SP layer,224,328,306
7734,Pyr in SP layer,304,992,290
7735,Pyr in SP layer,192,192,298
7736,Pyr in SP layer,136,456,314
7737,Pyr in SP layer,168,928,306
7738,Pyr in SP layer,128,240,306
7739,Pyr in SP layer,88,616,290
7740,Pyr in SP layer,224,600,290
7741,Pyr in SP layer,320,88,314
7742,Pyr in SP layer,64,272,314
7743,Pyr in SP layer,224,224,322
7744,Pyr in SP layer,64,384,290
7745,Pyr in SP layer,240,672,322
7746,Pyr in SP layer,272,192,322
7747,Pyr in SP layer,328,568,290
7748,Pyr in SP layer,0,1000,290
7749,Pyr in SP layer,320,648,322
7750,Pyr in SP layer,200,384,314
7751,Pyr in SP layer,32,184,322
7752,Pyr in SP layer,200,840,306
7753,Pyr in SP layer,184,768,322
7754,Pyr in SP layer,344,224,314
7755,Pyr in SP layer,24,304,290
7756,Pyr in SP layer,360,664,322
7757,Pyr in SP layer,368,416,322
7758,Pyr in SP layer,264,784,298
7759,Pyr in SP layer,272,520,298
7760,Pyr in SP layer,336,48,298
7761,Pyr in SP layer,232,896,298
7762,Pyr in SP layer,208,584,314
7763,Pyr in SP layer,112,672,306
7764,Pyr in SP layer,120,232,290
7765,Pyr in SP layer,168,1000,298
7766,Pyr in SP layer,200,16,322
7767,Pyr in SP layer,400,48,290
7768,Pyr in SP layer,136,360,314
7769,Pyr in SP layer,280,760,322
7770,Pyr in SP layer,280,248,298
7771,Pyr in SP layer,328,0,298
7772,Pyr in SP layer,392,184,298
7773,Pyr in SP layer,128,312,322
7774,Pyr in SP layer,136,880,306
7775,Pyr in SP layer,336,416,290
7776,Pyr in SP layer,64,560,306
7777,Pyr in SP layer,48,688,298
7778,Pyr in SP layer,208,672,290
7779,Pyr in SP layer,8,352,306
7780,Pyr in SP layer,384,472,306
7781,Pyr in SP layer,192,1000,298
7782,Pyr in SP layer,264,696,314
7783,Pyr in SP layer,256,848,322
7784,Pyr in SP layer,280,696,290
7785,Pyr in SP layer,288,232,298
7786,Pyr in SP layer,40,240,322
7787,Pyr in SP layer,328,888,314
7788,Pyr in SP layer,88,400,322
7789,Pyr in SP layer,392,376,322
7790,Pyr in SP layer,176,160,290
7791,Pyr in SP layer,200,888,322
7792,Pyr in SP layer,288,200,298
7793,Pyr in SP layer,160,984,298
7794,Pyr in SP layer,56,448,306
7795,Pyr in SP layer,320,912,298
7796,Pyr in SP layer,240,704,314
7797,Pyr in SP layer,296,904,290
7798,Pyr in SP layer,24,280,298
7799,Pyr in SP layer,272,64,306
7800,Pyr in SP layer,392,8,314
7801,Pyr in SP layer,56,184,322
7802,Pyr in SP layer,256,736,322
7803,Pyr in SP layer,128,536,314
7804,Pyr in SP layer,192,848,298
7805,Pyr in SP layer,80,240,290
7806,Pyr in SP layer,176,184,306
7807,Pyr in SP layer,368,632,298
7808,Pyr in SP layer,160,568,290
7809,Pyr in SP layer,152,904,306
7810,Pyr in SP layer,368,840,306
7811,Pyr in SP layer,112,848,298
7812,Pyr in SP layer,248,680,314
7813,Pyr in SP layer,104,448,306
7814,Pyr in SP layer,136,112,314
7815,Pyr in SP layer,176,592,306
7816,Pyr in SP layer,224,824,298
7817,Pyr in SP layer,312,712,298
7818,Pyr in SP layer,128,936,322
7819,Pyr in SP layer,40,152,306
7820,Pyr in SP layer,312,440,314
7821,Pyr in SP layer,48,968,298
7822,Pyr in SP layer,304,24,322
7823,Pyr in SP layer,272,496,314
7824,Pyr in SP layer,352,176,298
7825,Pyr in SP layer,24,496,298
7826,Pyr in SP layer,232,928,298
7827,Pyr in SP layer,248,8,306
7828,Pyr in SP layer,368,808,290
7829,Pyr in SP layer,272,784,306
7830,Pyr in SP layer,320,0,306
7831,Pyr in SP layer,376,112,290
7832,Pyr in SP layer,88,968,298
7833,Pyr in SP layer,272,608,322
7834,Pyr in SP layer,80,64,290
7835,Pyr in SP layer,168,184,314
7836,Pyr in SP layer,264,24,298
7837,Pyr in SP layer,8,768,306
7838,Pyr in SP layer,104,416,322
7839,Pyr in SP layer,352,488,298
7840,Pyr in SP layer,160,472,290
7841,Pyr in SP layer,264,512,314
7842,Pyr in SP layer,32,744,298
7843,Pyr in SP layer,184,672,322
7844,Pyr in SP layer,280,216,306
7845,Pyr in SP layer,0,208,306
7846,Pyr in SP layer,120,600,298
7847,Pyr in SP layer,224,496,322
7848,Pyr in SP layer,192,400,298
7849,Pyr in SP layer,176,656,290
7850,Pyr in SP layer,208,984,314
7851,Pyr in SP layer,104,248,314
7852,Pyr in SP layer,0,288,322
7853,Pyr in SP layer,360,96,306
7854,Pyr in SP layer,384,144,306
7855,Pyr in SP layer,96,216,298
7856,Pyr in SP layer,136,16,298
7857,Pyr in SP layer,208,384,322
7858,Pyr in SP layer,160,128,322
7859,Pyr in SP layer,24,640,314
7860,Pyr in SP layer,344,720,290
7861,Pyr in SP layer,312,216,314
7862,Pyr in SP layer,160,264,314
7863,Pyr in SP layer,104,904,314
7864,Pyr in SP layer,352,816,306
7865,Pyr in SP layer,336,840,290
7866,Pyr in SP layer,144,544,306
7867,Pyr in SP layer,320,0,290
7868,Pyr in SP layer,40,624,306
7869,Pyr in SP layer,64,392,314
7870,Pyr in SP layer,96,856,306
7871,Pyr in SP layer,160,552,314
7872,Pyr in SP layer,336,136,322
7873,Pyr in SP layer,40,128,290
7874,Pyr in SP layer,168,856,290
7875,Pyr in SP layer,344,528,322
7876,Pyr in SP layer,376,552,322
7877,Pyr in SP layer,112,288,298
7878,Pyr in SP layer,392,384,298
7879,Pyr in SP layer,184,368,314
7880,Pyr in SP layer,40,536,298
7881,Pyr in SP layer,296,592,290
7882,Pyr in SP layer,280,584,306
7883,Pyr in SP layer,312,864,298
7884,Pyr in SP layer,320,96,322
7885,Pyr in SP layer,112,48,306
7886,Pyr in SP layer,304,552,298
7887,Pyr in SP layer,8,480,322
7888,Pyr in SP layer,248,208,298
7889,Pyr in SP layer,352,64,314
7890,Pyr in SP layer,248,720,314
7891,Pyr in SP layer,32,512,322
7892,Pyr in SP layer,32,688,314
7893,Pyr in SP layer,200,848,298
7894,Pyr in SP layer,64,912,306
7895,Pyr in SP layer,80,32,322
7896,Pyr in SP layer,360,312,290
7897,Pyr in SP layer,240,264,290
7898,Pyr in SP layer,200,96,290
7899,Pyr in SP layer,96,400,298
7900,Pyr in SP layer,376,200,314
7901,Pyr in SP layer,272,224,298
7902,Pyr in SP layer,232,752,290
7903,Pyr in SP layer,344,880,306
7904,Pyr in SP layer,136,992,298
7905,Pyr in SP layer,32,968,314
7906,Pyr in SP layer,304,784,290
7907,Pyr in SP layer,320,160,298
7908,Pyr in SP layer,256,744,306
7909,Pyr in SP layer,120,744,298
7910,Pyr in SP layer,312,840,314
7911,Pyr in SP layer,352,288,290
7912,Pyr in SP layer,216,416,314
7913,Pyr in SP layer,336,240,314
7914,Pyr in SP layer,80,672,298
7915,Pyr in SP layer,128,496,306
7916,Pyr in SP layer,88,504,322
7917,Pyr in SP layer,88,56,306
7918,Pyr in SP layer,176,456,322
7919,Pyr in SP layer,248,984,322
7920,Pyr in SP layer,120,296,306
7921,Pyr in SP layer,288,952,306
7922,Pyr in SP layer,280,872,322
7923,Pyr in SP layer,328,160,298
7924,Pyr in SP layer,352,296,298
7925,Pyr in SP layer,304,24,298
7926,Pyr in SP layer,264,832,314
7927,Pyr in SP layer,320,784,306
7928,Pyr in SP layer,224,280,306
7929,Pyr in SP layer,312,448,322
7930,Pyr in SP layer,256,936,298
7931,Pyr in SP layer,240,368,306
7932,Pyr in SP layer,248,736,290
7933,Pyr in SP layer,152,976,314
7934,Pyr in SP layer,160,360,306
7935,Pyr in SP layer,368,48,306
7936,Pyr in SP layer,88,680,298
7937,Pyr in SP layer,152,952,298
7938,Pyr in SP layer,144,344,314
7939,Pyr in SP layer,80,200,306
7940,Pyr in SP layer,352,136,306
7941,Pyr in SP layer,232,776,314
7942,Pyr in SP layer,400,832,306
7943,Pyr in SP layer,128,368,298
7944,Pyr in SP layer,264,176,306
7945,Pyr in SP layer,184,776,298
7946,Pyr in SP layer,240,984,314
7947,Pyr in SP layer,64,760,314
7948,Pyr in SP layer,160,248,290
7949,Pyr in SP layer,224,544,298
7950,Pyr in SP layer,88,272,314
7951,Pyr in SP layer,280,568,298
7952,Pyr in SP layer,120,336,290
7953,Pyr in SP layer,272,48,322
7954,Pyr in SP layer,200,216,322
7955,Pyr in SP layer,256,448,298
7956,Pyr in SP layer,168,72,322
7957,Pyr in SP layer,216,416,322
7958,Pyr in SP layer,160,784,306
7959,Pyr in SP layer,216,800,322
7960,Pyr in SP layer,392,872,298
7961,Pyr in SP layer,80,192,322
7962,Pyr in SP layer,312,16,322
7963,Pyr in SP layer,32,184,306
7964,Pyr in SP layer,216,816,298
7965,Pyr in SP layer,280,128,322
7966,Pyr in SP layer,392,16,298
7967,Pyr in SP layer,320,512,306
7968,Pyr in SP layer,384,368,306
7969,Pyr in SP layer,144,232,322
7970,Pyr in SP layer,256,600,306
7971,Pyr in SP layer,392,744,298
7972,Pyr in SP layer,8,776,322
7973,Pyr in SP layer,368,440,306
7974,Pyr in SP layer,336,48,290
7975,Pyr in SP layer,312,888,298
7976,Pyr in SP layer,160,352,314
7977,Pyr in SP layer,176,736,290
7978,Pyr in SP layer,16,232,306
7979,Pyr in SP layer,176,208,298
7980,Pyr in SP layer,16,544,290
7981,Pyr in SP layer,256,720,290
7982,Pyr in SP layer,176,480,314
7983,Pyr in SP layer,264,720,298
7984,Pyr in SP layer,40,872,314
7985,Pyr in SP layer,216,592,314
7986,Pyr in SP layer,248,184,314
7987,Pyr in SP layer,352,144,314
7988,Pyr in SP layer,240,360,306
7989,Pyr in SP layer,24,936,298
7990,Pyr in SP layer,176,136,290
7991,Pyr in SP layer,56,56,298
7992,Pyr in SP layer,288,688,314
7993,Pyr in SP layer,16,696,314
7994,Pyr in SP layer,216,984,306
7995,Pyr in SP layer,136,656,290
7996,Pyr in SP layer,328,296,290
7997,Pyr in SP layer,152,736,322
7998,Pyr in SP layer,176,296,322
7999,Pyr in SP layer,160,624,290
8000,Pyr in SP layer,136,744,290
8001,Pyr in SP layer,304,0,298
8002,Pyr in SP layer,120,928,322
8003,Pyr in SP layer,360,528,322
8004,Pyr in SP layer,296,800,306
8005,Pyr in SP layer,112,16,290
8006,Pyr in SP layer,256,808,322
8007,Pyr in SP layer,40,776,306
8008,Pyr in SP layer,272,568,290
8009,Pyr in SP layer,320,616,314
8010,Pyr in SP layer,336,376,306
8011,Pyr in SP layer,208,488,322
8012,Pyr in SP layer,32,320,298
8013,Pyr in SP layer,184,712,314
8014,Pyr in SP layer,120,864,298
8015,Pyr in SP layer,168,728,322
8016,Pyr in SP layer,256,464,306
8017,Pyr in SP layer,240,472,314
8018,Pyr in SP layer,296,40,322
8019,Pyr in SP layer,240,936,306
8020,Pyr in SP layer,24,112,290
8021,Pyr in SP layer,288,560,314
8022,Pyr in SP layer,312,528,306
8023,Pyr in SP layer,184,944,290
8024,Pyr in SP layer,8,656,306
8025,Pyr in SP layer,176,168,322
8026,Pyr in SP layer,272,624,290
8027,Pyr in SP layer,360,672,314
8028,Pyr in SP layer,56,328,314
8029,Pyr in SP layer,336,824,306
8030,Pyr in SP layer,24,80,298
8031,Pyr in SP layer,40,80,314
8032,Pyr in SP layer,232,568,298
8033,Pyr in SP layer,264,688,322
8034,Pyr in SP layer,32,0,290
8035,Pyr in SP layer,344,24,314
8036,Pyr in SP layer,352,952,306
8037,Pyr in SP layer,168,968,306
8038,Pyr in SP layer,312,272,322
8039,Pyr in SP layer,384,0,322
8040,Pyr in SP layer,320,832,314
8041,Pyr in SP layer,32,96,314
8042,Pyr in SP layer,280,496,322
8043,Pyr in SP layer,232,496,314
8044,Pyr in SP layer,352,696,306
8045,Pyr in SP layer,8,528,306
8046,Pyr in SP layer,40,280,322
8047,Pyr in SP layer,344,712,290
8048,Pyr in SP layer,384,696,298
8049,Pyr in SP layer,336,848,306
8050,Pyr in SP layer,144,864,298
8051,Pyr in SP layer,296,216,306
8052,Pyr in SP layer,248,360,298
8053,Pyr in SP layer,360,208,306
8054,Pyr in SP layer,120,776,314
8055,Pyr in SP layer,328,832,306
8056,Pyr in SP layer,368,264,314
8057,Pyr in SP layer,336,672,306
8058,Pyr in SP layer,144,208,322
8059,Pyr in SP layer,168,456,290
8060,Pyr in SP layer,264,840,306
8061,Pyr in SP layer,344,880,322
8062,Pyr in SP layer,280,640,322
8063,Pyr in SP layer,136,704,314
8064,Pyr in SP layer,288,928,290
8065,Pyr in SP layer,200,432,306
8066,Pyr in SP layer,328,640,298
8067,Pyr in SP layer,80,480,290
8068,Pyr in SP layer,80,744,314
8069,Pyr in SP layer,0,40,298
8070,Pyr in SP layer,368,88,314
8071,Pyr in SP layer,360,456,306
8072,Pyr in SP layer,192,536,314
8073,Pyr in SP layer,96,312,314
8074,Pyr in SP layer,200,912,306
8075,Pyr in SP layer,120,608,298
8076,Pyr in SP layer,80,80,306
8077,Pyr in SP layer,224,8,290
8078,Pyr in SP layer,232,576,298
8079,Pyr in SP layer,80,248,322
8080,Pyr in SP layer,152,472,298
8081,Pyr in SP layer,56,704,290
8082,Pyr in SP layer,208,792,306
8083,Pyr in SP layer,16,80,290
8084,Pyr in SP layer,304,592,298
8085,Pyr in SP layer,104,328,290
8086,Pyr in SP layer,32,208,322
8087,Pyr in SP layer,128,8,314
8088,Pyr in SP layer,56,120,306
8089,Pyr in SP layer,64,304,298
8090,Pyr in SP layer,192,496,314
8091,Pyr in SP layer,256,936,314
8092,Pyr in SP layer,112,144,306
8093,Pyr in SP layer,312,544,298
8094,Pyr in SP layer,280,680,314
8095,Pyr in SP layer,32,728,322
8096,Pyr in SP layer,368,160,298
8097,Pyr in SP layer,72,16,298
8098,Pyr in SP layer,48,928,290
8099,Pyr in SP layer,296,192,322
8100,Pyr in SP layer,24,808,314
8101,Pyr in SP layer,88,744,290
8102,Pyr in SP layer,112,80,322
8103,Pyr in SP layer,336,224,290
8104,Pyr in SP layer,320,464,322
8105,Pyr in SP layer,328,64,298
8106,Pyr in SP layer,152,656,290
8107,Pyr in SP layer,288,552,314
8108,Pyr in SP layer,336,488,290
8109,Pyr in SP layer,88,216,306
8110,Pyr in SP layer,168,568,290
8111,Pyr in SP layer,352,608,298
8112,Pyr in SP layer,296,720,322
8113,Pyr in SP layer,280,392,290
8114,Pyr in SP layer,48,256,314
8115,Pyr in SP layer,8,424,290
8116,Pyr in SP layer,312,776,322
8117,Pyr in SP layer,128,688,298
8118,Pyr in SP layer,352,864,314
8119,Pyr in SP layer,328,400,298
8120,Pyr in SP layer,96,672,298
8121,Pyr in SP layer,40,8,314
8122,Pyr in SP layer,304,64,314
8123,Pyr in SP layer,376,808,322
8124,Pyr in SP layer,312,16,298
8125,Pyr in SP layer,344,488,298
8126,Pyr in SP layer,104,216,298
8127,Pyr in SP layer,112,616,306
8128,Pyr in SP layer,72,608,314
8129,Pyr in SP layer,200,768,298
8130,Pyr in SP layer,80,504,314
8131,Pyr in SP layer,64,728,306
8132,Pyr in SP layer,392,728,306
8133,Pyr in SP layer,384,896,298
8134,Pyr in SP layer,176,232,322
8135,Pyr in SP layer,88,920,290
8136,Pyr in SP layer,32,8,306
8137,Pyr in SP layer,160,856,322
8138,Pyr in SP layer,136,520,322
8139,Pyr in SP layer,336,144,314
8140,Pyr in SP layer,48,744,322
8141,Pyr in SP layer,184,312,290
8142,Pyr in SP layer,144,544,322
8143,Pyr in SP layer,80,16,298
8144,Pyr in SP layer,112,976,298
8145,Pyr in SP layer,120,544,306
8146,Pyr in SP layer,120,376,314
8147,Pyr in SP layer,368,72,298
8148,Pyr in SP layer,384,904,290
8149,Pyr in SP layer,248,760,306
8150,Pyr in SP layer,288,536,314
8151,Pyr in SP layer,16,648,314
8152,Pyr in SP layer,344,696,314
8153,Pyr in SP layer,80,40,290
8154,Pyr in SP layer,344,80,322
8155,Pyr in SP layer,328,656,322
8156,Pyr in SP layer,216,264,314
8157,Pyr in SP layer,392,160,314
8158,Pyr in SP layer,0,696,306
8159,Pyr in SP layer,120,904,306
8160,Pyr in SP layer,352,72,306
8161,Pyr in SP layer,392,96,322
8162,Pyr in SP layer,296,64,290
8163,Pyr in SP layer,128,968,322
8164,Pyr in SP layer,16,232,298
8165,Pyr in SP layer,296,56,314
8166,Pyr in SP layer,256,600,298
8167,Pyr in SP layer,96,40,298
8168,Pyr in SP layer,256,96,298
8169,Pyr in SP layer,256,656,322
8170,Pyr in SP layer,320,96,306
8171,Pyr in SP layer,56,424,290
8172,Pyr in SP layer,280,656,314
8173,Pyr in SP layer,224,728,298
8174,Pyr in SP layer,72,344,290
8175,Pyr in SP layer,232,208,298
8176,Pyr in SP layer,296,744,314
8177,Pyr in SP layer,264,16,290
8178,Pyr in SP layer,32,920,298
8179,Pyr in SP layer,136,992,290
8180,Pyr in SP layer,200,208,322
8181,Pyr in SP layer,376,416,290
8182,Pyr in SP layer,400,520,306
8183,Pyr in SP layer,0,744,298
8184,Pyr in SP layer,360,160,322
8185,Pyr in SP layer,208,904,322
8186,Pyr in SP layer,336,376,290
8187,Pyr in SP layer,376,464,298
8188,Pyr in SP layer,200,216,290
8189,Pyr in SP layer,0,960,314
8190,Pyr in SP layer,0,504,298
8191,Pyr in SP layer,88,352,298
8192,Pyr in SP layer,256,752,290
8193,Pyr in SP layer,40,264,306
8194,Pyr in SP layer,152,840,290
8195,Pyr in SP layer,368,592,322
8196,Pyr in SP layer,56,928,306
8197,Pyr in SP layer,112,336,314
8198,Pyr in SP layer,376,992,306
8199,Pyr in SP layer,296,880,298
8200,Pyr in SP layer,184,968,306
8201,Pyr in SP layer,88,672,306
8202,Pyr in SP layer,296,704,298
8203,Pyr in SP layer,128,264,298
8204,Pyr in SP layer,208,208,322
8205,Pyr in SP layer,272,304,306
8206,Pyr in SP layer,296,232,290
8207,Pyr in SP layer,312,576,306
8208,Pyr in SP layer,152,328,314
8209,Pyr in SP layer,344,904,314
8210,Pyr in SP layer,304,416,298
8211,Pyr in SP layer,96,208,306
8212,Pyr in SP layer,32,328,290
8213,Pyr in SP layer,72,208,322
8214,Pyr in SP layer,176,336,314
8215,Pyr in SP layer,96,696,322
8216,Pyr in SP layer,96,200,298
8217,Pyr in SP layer,40,752,322
8218,Pyr in SP layer,88,456,290
8219,Pyr in SP layer,224,728,290
8220,Pyr in SP layer,40,952,290
8221,Pyr in SP layer,16,672,306
8222,Pyr in SP layer,304,320,298
8223,Pyr in SP layer,216,376,314
8224,Pyr in SP layer,280,120,290
8225,Pyr in SP layer,352,872,290
8226,Pyr in SP layer,72,832,298
8227,Pyr in SP layer,312,608,306
8228,Pyr in SP layer,40,184,314
8229,Pyr in SP layer,64,520,322
8230,Pyr in SP layer,8,712,290
8231,Pyr in SP layer,320,80,306
8232,Pyr in SP layer,200,408,322
8233,Pyr in SP layer,240,544,290
8234,Pyr in SP layer,272,800,322
8235,Pyr in SP layer,280,960,290
8236,Pyr in SP layer,328,688,290
8237,Pyr in SP layer,104,504,306
8238,Pyr in SP layer,184,264,298
8239,Pyr in SP layer,40,64,306
8240,Pyr in SP layer,104,8,314
8241,Pyr in SP layer,56,776,314
8242,Pyr in SP layer,72,352,306
8243,Pyr in SP layer,128,280,322
8244,Pyr in SP layer,320,728,314
8245,Pyr in SP layer,32,704,306
8246,Pyr in SP layer,352,168,298
8247,Pyr in SP layer,96,152,322
8248,Pyr in SP layer,120,192,306
8249,Pyr in SP layer,216,952,306
8250,Pyr in SP layer,384,824,290
8251,Pyr in SP layer,48,712,306
8252,Pyr in SP layer,176,672,314
8253,Pyr in SP layer,136,960,298
8254,Pyr in SP layer,360,40,322
8255,Pyr in SP layer,128,712,290
8256,Pyr in SP layer,56,24,290
8257,Pyr in SP layer,232,352,298
8258,Pyr in SP layer,240,800,290
8259,Pyr in SP layer,160,448,322
8260,Pyr in SP layer,392,352,290
8261,Pyr in SP layer,80,976,306
8262,Pyr in SP layer,368,496,322
8263,Pyr in SP layer,216,904,322
8264,Pyr in SP layer,240,344,298
8265,Pyr in SP layer,40,632,290
8266,Pyr in SP layer,128,216,298
8267,Pyr in SP layer,144,640,322
8268,Pyr in SP layer,304,224,314
8269,Pyr in SP layer,352,0,314
8270,Pyr in SP layer,248,536,290
8271,Pyr in SP layer,312,592,306
8272,Pyr in SP layer,320,608,322
8273,Pyr in SP layer,40,544,314
8274,Pyr in SP layer,232,704,298
8275,Pyr in SP layer,264,184,290
8276,Pyr in SP layer,232,592,322
